SMA-10,SMA-20,EMA-10,EMA-20,MACD_Hist-10,MACD-10,MACD_Signal-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
122.4330,119.8390,120.9890,120.4950,-0.1518,0.6787,0.8305,39.1836,27.5481,48.9821,50.4694,20.0734,10.3255,-72.7060,12.3330,90.0000,10.0000,55.0000,15.0000,127.2694,117.5967,127.4009,112.2770,469244882.8406,366526451.0000
122.6832,119.7294,121.1613,120.5246,-0.0635,0.8049,0.8684,26.6008,20.0099,46.7122,49.4893,21.6617,10.5070,-147.1434,-11.8883,100.0000,20.0000,60.0000,20.0000,127.2877,118.0787,127.3298,112.1290,466030395.0325,362999877.0000
122.8467,119.5825,121.5428,120.6383,0.1484,1.0327,0.8843,16.8598,15.0728,49.2064,50.6956,23.3714,10.9496,-160.6153,0.4471,100.0000,30.0000,65.0000,25.0000,127.0808,118.6126,127.3118,111.8531,461030514.1878,357722225.0000
122.7465,119.4150,121.7927,120.6615,0.3620,1.2092,0.8472,16.5691,17.8301,51.3018,51.7135,25.7572,11.3120,-49.6977,48.1286,0.0000,40.0000,70.0000,30.0000,127.2450,118.2479,127.2095,111.6206,460580743.3502,361710287.0000
122.5362,119.1537,121.9143,120.6000,0.5761,1.3328,0.7567,11.7895,25.6764,54.3921,53.2182,26.3462,11.2120,-39.3467,50.2030,0.0000,50.0000,75.0000,35.0000,127.4711,117.6013,127.0352,111.2722,459724898.6725,358877146.0000
121.8354,118.7721,121.7904,120.4029,0.7335,1.3461,0.6127,25.1319,38.4243,52.4271,52.2117,26.9098,11.0904,13.7758,70.4344,10.0000,60.0000,80.0000,40.0000,128.3466,115.3242,126.7128,110.8315,462682055.2030,363055322.0000
121.3409,118.4509,121.8466,120.2835,1.0095,1.4388,0.4293,40.1078,51.8699,56.0979,54.0768,26.9330,10.8508,41.4109,90.1685,0.0000,70.0000,85.0000,45.0000,128.5781,114.1037,126.4377,110.4641,459458682.3310,359321775.0000
120.2721,117.9778,121.5649,119.9855,1.1986,1.3756,0.1769,50.0331,63.4592,62.4637,57.2171,26.1110,10.4423,87.7909,137.0041,0.0000,80.0000,90.0000,50.0000,129.1228,111.4214,125.9244,110.0312,462035368.9946,362852851.0000
119.1916,117.4532,120.6538,119.3877,1.1379,1.0152,-0.1227,65.4689,77.9472,57.1142,54.1261,23.2920,9.6772,101.4954,166.1473,10.0000,90.0000,95.0000,55.0000,127.7794,110.6039,124.6507,110.2556,465571158.6169,367072987.0000
118.4285,117.2638,120.2325,119.0548,1.2648,0.8576,-0.4072,74.8757,86.9223,72.3730,61.0093,20.1598,8.8719,122.8178,212.0792,20.0000,100.0000,100.0000,60.0000,127.0432,109.8138,124.1056,110.4221,460948704.2287,358877621.0000
117.2449,116.8239,118.5797,118.1480,0.8461,0.1227,-0.7234,93.4970,92.7627,63.9956,55.8476,16.6796,8.0242,124.4074,203.6751,30.0000,100.0000,100.0000,65.0000,123.3393,111.1505,121.8133,111.8345,475051776.7822,374234300.0000
